UDI,Type,falha_real,score_falha,alerta,limiar,resultado
2,L,0,0.02271754148,0,0.29,TN
5,L,0,0.0190043602,0,0.29,TN
6,M,0,0.01761048241,0,0.29,TN
10,M,0,0.008775475883,0,0.29,TN
12,H,0,0.06528323567,0,0.29,TN
14,M,0,0.01725004029,0,0.29,TN
21,H,0,0.008513773363,0,0.29,TN
22,L,0,0.01667789877,0,0.29,TN
28,H,0,0.007083720139,0,0.29,TN
36,M,0,0.009065450787,0,0.29,TN
39,H,0,0.00219261118,0,0.29,TN
43,M,0,0.01525999938,0,0.29,TN
56,L,0,0.005400841062,0,0.29,TN
57,L,0,0.00698596348,0,0.29,TN
62,M,0,0.004008976005,0,0.29,TN
66,L,0,0.02046625482,0,0.29,TN
77,L,0,0.1947197897,0,0.29,TN
81,H,0,0.04906198162,0,0.29,TN
93,M,0,0.00666500338,0,0.29,TN
98,M,0,0.005700355155,0,0.29,TN
102,L,0,0.006787276575,0,0.29,TN
109,H,0,0.001936978672,0,0.29,TN
120,L,0,0.003112853887,0,0.29,TN
121,L,0,0.0255973717,0,0.29,TN
129,L,0,0.002916074836,0,0.29,TN
130,L,0,0.002916074836,0,0.29,TN
132,L,0,0.006516356574,0,0.29,TN
133,M,0,0.008423141472,0,0.29,TN
134,M,0,0.01727171088,0,0.29,TN
137,H,0,0.02784605737,0,0.29,TN
141,L,0,0.004966363352,0,0.29,TN
144,H,0,0.01410962806,0,0.29,TN
149,M,0,0.01476676809,0,0.29,TN
157,M,0,0.145084143,0,0.29,TN
158,H,0,0.1733212269,0,0.29,TN
164,M,0,0.003830829273,0,0.29,TN
167,H,0,0.005622249488,0,0.29,TN
197,H,0,0.02058234544,0,0.29,TN
198,M,0,0.007455409283,0,0.29,TN
205,L,0,0.0106879462,0,0.29,TN
211,L,0,0.003694303157,0,0.29,TN
215,M,0,0.002928473275,0,0.29,TN
216,L,0,0.002612961287,0,0.29,TN
222,H,0,0.006189799792,0,0.29,TN
233,L,0,0.01359369925,0,0.29,TN
234,L,0,0.002558180557,0,0.29,TN
241,M,0,0.07088388938,0,0.29,TN
243,L,1,0.4828039616,1,0.29,TP
245,M,0,0.09480337083,0,0.29,TN
249,L,1,0.5606741662,1,0.29,TP
250,L,1,0.657625574,1,0.29,TP
262,L,0,0.002029701552,0,0.29,TN
268,L,0,0.001394716519,0,0.29,TN
273,L,0,0.001330228318,0,0.29,TN
275,L,0,0.002783141608,0,0.29,TN
282,L,0,0.004014957582,0,0.29,TN
284,L,0,0.002336135515,0,0.29,TN
288,L,0,0.002385961787,0,0.29,TN
290,L,0,0.01183897896,0,0.29,TN
294,H,0,0.01519875455,0,0.29,TN
307,L,0,0.00761087605,0,0.29,TN
314,L,0,0.03046059719,0,0.29,TN
315,M,0,0.003106853432,0,0.29,TN
319,L,0,0.005379147452,0,0.29,TN
324,L,0,0.008535945798,0,0.29,TN
328,L,1,0.3902182185,1,0.29,TP
331,M,0,0.0789066882,0,0.29,TN
343,L,0,0.004421350125,0,0.29,TN
352,M,0,0.004437176932,0,0.29,TN
355,L,0,0.001629028158,0,0.29,TN
359,M,0,0.0024970722,0,0.29,TN
366,L,0,0.02290806875,0,0.29,TN
376,L,0,0.001868049604,0,0.29,TN
378,M,0,0.0357506585,0,0.29,TN
381,L,1,0.6661062974,1,0.29,TP
387,L,0,0.01629772687,0,0.29,TN
389,L,0,0.01327146396,0,0.29,TN
399,H,0,0.002963146188,0,0.29,TN
405,L,0,0.03505567465,0,0.29,TN
406,L,0,0.1105512673,0,0.29,TN
410,L,0,0.01130224548,0,0.29,TN
418,L,0,0.3528644764,1,0.29,FP
419,L,0,0.01395074736,0,0.29,TN
421,M,0,0.02257647334,0,0.29,TN
427,L,0,0.005086438916,0,0.29,TN
432,L,0,0.01439396548,0,0.29,TN
434,M,0,0.004618027058,0,0.29,TN
460,L,0,0.003939618366,0,0.29,TN
471,H,0,0.001799455698,0,0.29,TN
475,L,0,0.01116815123,0,0.29,TN
483,L,0,0.004383228567,0,0.29,TN
498,L,0,0.2127451119,0,0.29,TN
505,M,0,0.001141041696,0,0.29,TN
519,L,0,0.0110835362,0,0.29,TN
521,L,0,0.004736607307,0,0.29,TN
529,M,0,0.001465022347,0,0.29,TN
531,M,0,0.008145151416,0,0.29,TN
540,M,0,0.006823061138,0,0.29,TN
542,L,0,0.02002501507,0,0.29,TN
543,L,0,0.0129391297,0,0.29,TN
546,L,0,0.009046158246,0,0.29,TN
553,M,0,0.003050431593,0,0.29,TN
554,M,0,0.003050431593,0,0.29,TN
556,M,0,0.002181946855,0,0.29,TN
562,M,0,0.01183060578,0,0.29,TN
569,L,0,0.008716369738,0,0.29,TN
573,L,0,0.1077001063,0,0.29,TN
576,M,0,0.06629182279,0,0.29,TN
586,L,0,0.1603716075,0,0.29,TN
589,L,0,0.1059410876,0,0.29,TN
592,H,0,0.180750622,0,0.29,TN
593,H,0,0.1011774964,0,0.29,TN
598,H,0,0.06312546815,0,0.29,TN
601,L,0,0.003714125473,0,0.29,TN
619,H,0,0.05421363054,0,0.29,TN
625,H,0,0.01519776586,0,0.29,TN
633,H,0,0.05780789615,0,0.29,TN
638,L,0,0.004926041256,0,0.29,TN
648,L,0,0.002044605166,0,0.29,TN
653,L,0,0.005422691685,0,0.29,TN
654,L,0,0.008836612842,0,0.29,TN
657,M,0,0.01214985697,0,0.29,TN
664,L,0,0.009209476805,0,0.29,TN
678,L,0,0.002222500882,0,0.29,TN
680,L,0,0.002550930703,0,0.29,TN
682,M,0,0.005433423654,0,0.29,TN
685,L,0,0.00317993367,0,0.29,TN
686,M,0,0.002200645876,0,0.29,TN
690,H,0,0.01655219915,0,0.29,TN
705,L,0,0.002210182366,0,0.29,TN
707,M,0,0.009300868551,0,0.29,TN
717,H,0,0.02471688898,0,0.29,TN
718,L,0,0.003686552934,0,0.29,TN
722,L,0,0.004439168101,0,0.29,TN
733,L,0,0.009589768387,0,0.29,TN
735,H,0,0.03898795242,0,0.29,TN
736,L,0,0.008597617922,0,0.29,TN
745,L,0,0.02691688446,0,0.29,TN
748,L,0,0.1924090935,0,0.29,TN
755,M,0,0.06818021562,0,0.29,TN
769,L,0,0.002962865861,0,0.29,TN
774,L,0,0.003665917335,0,0.29,TN
780,L,0,0.003547879785,0,0.29,TN
788,L,0,0.01645679937,0,0.29,TN
789,M,0,0.007749423541,0,0.29,TN
790,M,0,0.001640450705,0,0.29,TN
795,H,0,0.02206543716,0,0.29,TN
798,L,0,0.005920641259,0,0.29,TN
804,H,0,0.04080976633,0,0.29,TN
811,L,0,0.002670494212,0,0.29,TN
813,L,0,0.005922347881,0,0.29,TN
824,M,0,0.001137247145,0,0.29,TN
826,L,0,0.002047091667,0,0.29,TN
834,L,0,0.02144260776,0,0.29,TN
841,L,0,0.016794354,0,0.29,TN
842,L,0,0.01858347318,0,0.29,TN
843,M,0,0.02242406968,0,0.29,TN
844,L,0,0.05672625957,0,0.29,TN
845,L,0,0.2103442965,0,0.29,TN
847,M,0,0.1246799782,0,0.29,TN
851,L,0,0.002145706259,0,0.29,TN
